,Threshold,precision,recall,F1_score,mIoU
0,0.5,0.8836477987421384,0.9623287671232876,0.9213114754098362,0.6695571724072017
1,0.55,0.8354430379746836,0.9041095890410958,0.8684210526315789,0.6738813119284504
2,0.6,0.740506329113924,0.8013698630136986,0.7697368421052632,0.6792231875525597
3,0.65,0.5854430379746836,0.6335616438356164,0.6085526315789473,0.6850811238056977
4,0.7,0.3492063492063492,0.3767123287671233,0.3624382207578254,0.6902448811026552
5,0.75,0.11458333333333333,0.11870503597122302,0.1166077738515901,0.6925023825665537
6,0.8,0.00390625,0.003875968992248062,0.0038910505836575876,0.6926114170677767
7,0.85,0.0,0.0,0.0,0.0
